*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
17/11/2025,-13.79,"Hitworld Music Group HITWORLD.BEAT","Card transaction of 8.99 USD issued by Hitworld Music Group HITWORLD.BEAT (fee: 0.05 AUD)","",,,"REVIEW - No rule matched",,,
17/11/2025,-0.05,"Hitworld Music Group HITWORLD.BEAT","Wise Charges for: CARD-3130065085","",,,"REVIEW - No rule matched",,,
15/11/2025,-15.27,"Ww Metro/105-109 Commerci TENERIFFE","Card transaction of 15.27 AUD issued by Ww Metro/105-109 Commerci TENERIFFE","",,,"REVIEW - No rule matched",,,
10/11/2025,-234.86,"Paypal *Viator-Trip It-17 4029357733","Card transaction of 153.28 USD issued by Paypal *Viator-Trip It-17 4029357733 (fee: 0.82 AUD)","",,,"REVIEW - No rule matched",,,
10/11/2025,-0.82,"Paypal *Viator-Trip It-17 4029357733","Wise Charges for: CARD-3103977540","",,,"REVIEW - No rule matched",,,
09/11/2025,-930.67,"Paypal *Makeblockhk 4029357733","Card transaction of 930.67 AUD issued by Paypal *Makeblockhk 4029357733","",,,"REVIEW - No rule matched",,,
05/11/2025,-96.63,"Hk Star Pty Ltd CHERMSIDE","Card transaction of 96.63 AUD issued by Hk Star Pty Ltd CHERMSIDE","",,,"REVIEW - No rule matched",,,
05/11/2025,-100.39,"Travelex Fxb - Adelaide S BRISBANE CITY","Card transaction of 100.39 AUD issued by Travelex Fxb - Adelaide S BRISBANE CITY","",,,"REVIEW - No rule matched",,,
04/11/2025,-29.15,"A Place 2 Meat P L NEWMARKET","Card transaction of 29.15 AUD issued by A Place 2 Meat P L NEWMARKET","",,,"REVIEW - No rule matched",,,
03/11/2025,-30.00,"Www.momoshopetspa.com PADDINGTON","Card transaction of 30.00 AUD issued by Www.momoshopetspa.com PADDINGTON","",,,"REVIEW - No rule matched",,,
01/11/2025,-130.47,"Lefkas Taverna West End","Card transaction of 130.47 AUD issued by Lefkas Taverna West End","",,,"REVIEW - No rule matched",,,
30/10/2025,-76.90,"Meat@billy's ASHGROVE","Card transaction of 76.90 AUD issued by Meat@billy's ASHGROVE","",,,"REVIEW - No rule matched",,,
30/10/2025,-83.98,"Macpac Everton Park EVERTON PARK","Card transaction of 83.98 AUD issued by Macpac Everton Park EVERTON PARK","",,,"REVIEW - No rule matched",,,
29/10/2025,-100.01,"Modi Corporation RED HILL","Card transaction of 100.01 AUD issued by Modi Corporation RED HILL","",,,"REVIEW - No rule matched",,,
28/10/2025,-280.00,"Queensland Govt 2 BRISBANE","Card transaction of 280.00 AUD issued by Queensland Govt 2 BRISBANE","",,,"REVIEW - No rule matched",,,
26/10/2025,-87.12,"Palmbeachslssupporter Palm Beach","Card transaction of 87.12 AUD issued by Palmbeachslssupporter Palm Beach","",,,"REVIEW - No rule matched",,,
26/10/2025,-9.95,"Mcdonalds Burlgh Wtr BURLEIGH WATE","Card transaction of 9.95 AUD issued by Mcdonalds Burlgh Wtr BURLEIGH WATE","",,,"REVIEW - No rule matched",,,
22/10/2025,-12.04,"Sq *Esk Bakery Esk","Card transaction of 12.04 AUD issued by Sq *Esk Bakery Esk","",,,"REVIEW - No rule matched",,,
21/10/2025,-33.98,"Chemist Warehouse MARYBOROUGH","Card transaction of 33.98 AUD issued by Chemist Warehouse MARYBOROUGH","",,,"REVIEW - No rule matched",,,
17/10/2025,-18.70,"Smp*Brumbys Edge Hill Edge Hill","Card transaction of 18.70 AUD issued by Smp*Brumbys Edge Hill Edge Hill","",,,"REVIEW - No rule matched",,,
16/10/2025,-9.99,"Amznprimeau Membership SYDNEY SOUTH","Card transaction of 9.99 AUD issued by Amznprimeau Membership SYDNEY SOUTH","",,,"REVIEW - No rule matched",,,
15/10/2025,-0.11,"Bounce SHIBUYAKU","Wise Charges for: CARD-3010446308","",,,"REVIEW - No rule matched",,,
15/10/2025,-0.11,"Bounce SHIBUYAKU","Wise Charges for: CARD-3009894499","",,,"REVIEW - No rule matched",,,
