*Date,*Amount,*Payee,*Description,*Reference,AccountCode,TaxType,Notes,MORGAN_ACCOUNT,MORGAN_TAX,MORGAN_NOTES
12/10/2024,-7.20,"Mcdonalds Kangaroo Pt KANGAROO POIN","Card transaction of 7.20 AUD issued by Mcdonalds Kangaroo Pt KANGAROO POIN","",,,"REVIEW - No rule matched",,,
12/10/2024,-17.19,"Zlr*Yard Dogs Fortitude Val","Card transaction of 17.19 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
12/10/2024,-95.30,"Www.alhgroup.com* Me&u +611300632638","Card transaction of 95.30 AUD issued by Www.alhgroup.com* Me&u +611300632638","",,,"REVIEW - No rule matched",,,
12/10/2024,-17.54,"Bcc Resource Rec Ctr FERNY GROVE","Card transaction of 17.54 AUD issued by Bcc Resource Rec Ctr FERNY GROVE","",,,"REVIEW - No rule matched",,,
10/10/2024,-12.10,"Mcdonalds Pt Macq Hwy PORT MACQUARI","Card transaction of 12.10 AUD issued by Mcdonalds Pt Macq Hwy PORT MACQUARI","",,,"REVIEW - No rule matched",,,
09/10/2024,-116.82,"Paypal *Bookingcoma 4029357733","Card transaction of 116.82 AUD issued by Paypal *Bookingcoma 4029357733","",,,"REVIEW - No rule matched",,,
06/10/2024,-373.90,"Paypal *Ttm 094981554","Card transaction of 373.90 AUD issued by Paypal *Ttm 094981554","",,,"REVIEW - No rule matched",,,
04/10/2024,-14.50,"Destination Brisbane BRISBANE","Card transaction of 14.50 AUD issued by Destination Brisbane BRISBANE","",,,"REVIEW - No rule matched",,,
03/10/2024,-160.80,"Stanley Brisbane","Card transaction of 160.80 AUD issued by Stanley Brisbane","",,,"REVIEW - No rule matched",,,
03/10/2024,-6.29,"Little Red Bakery RED HILL","Card transaction of 6.29 AUD issued by Little Red Bakery RED HILL","",,,"REVIEW - No rule matched",,,
01/10/2024,-15.08,"Linkt Brisbane","Card transaction of 15.08 AUD issued by Linkt Brisbane","",,,"REVIEW - No rule matched",,,
01/10/2024,-100.37,"Linkt Brisbane","Card transaction of 100.37 AUD issued by Linkt Brisbane","",,,"REVIEW - No rule matched",,,
29/09/2024,-52.51,"Temu.com +18884958368","Card transaction of 52.51 AUD issued by Temu.com +18884958368","",,,"REVIEW - No rule matched",,,
28/09/2024,-33.51,"Www.alhgroup.com* Me&u +611300632638","Card transaction of 33.51 AUD issued by Www.alhgroup.com* Me&u +611300632638","",,,"REVIEW - No rule matched",,,
24/09/2024,-72.25,"Dominos Estore Holland Pa dominos.com.a","Card transaction of 72.25 AUD issued by Dominos Estore Holland Pa dominos.com.a","",,,"REVIEW - No rule matched",,,
24/09/2024,-4.40,"Nosq Pty Ltd KELVIN GROVE","Card transaction of 4.40 AUD issued by Nosq Pty Ltd KELVIN GROVE","",,,"REVIEW - No rule matched",,,
24/09/2024,-27.00,"Opv Pty. Ltd. SUNNYBANK","Card transaction of 27.00 AUD issued by Opv Pty. Ltd. SUNNYBANK","",,,"REVIEW - No rule matched",,,
20/09/2024,-81.02,"La Patrona Mexican Cu Teneriffe","Card transaction of 81.02 AUD issued by La Patrona Mexican Cu Teneriffe","",,,"REVIEW - No rule matched",,,
19/09/2024,-16.50,"Delaware North Retai MELBOURNE AIR","Card transaction of 16.50 AUD issued by Delaware North Retai MELBOURNE AIR","",,,"REVIEW - No rule matched",,,
17/09/2024,-8.90,"Mcdonalds Bris Domair BRISBANE AIRP","Card transaction of 8.90 AUD issued by Mcdonalds Bris Domair BRISBANE AIRP","",,,"REVIEW - No rule matched",,,
21/08/2024,-2.71,"Hsbc/whampoa Garden Eb HONG KONG","Wise Charges for: CARD-1735385177","",,,"REVIEW - No rule matched",,,
21/08/2024,-2.69,"Hsbc/whampoa Garden Eb HONG KONG","Wise Charges for: CARD-1735376405","",,,"REVIEW - No rule matched",,,
14/05/2024,-310.44,"Paypal *Wwwclotfpda 4029357733","Card transaction of 205.00 USD issued by Paypal *Wwwclotfpda 4029357733 (fee: 1.15 AUD)","",,,"REVIEW - No rule matched",,,
14/05/2024,-1.15,"Paypal *Wwwclotfpda 4029357733","Wise Charges for: CARD-1458978974","",,,"REVIEW - No rule matched",,,
21/08/2023,-25.04,"Eg Group/72 Webster Rd (c CHERMSIDE","Card transaction of 25.04 AUD issued by Eg Group/72 Webster Rd (c CHERMSIDE","",,,"REVIEW - No rule matched",,,
21/08/2023,-69.00,"Officeworks 0437 WILSTON","Card transaction of 69.00 AUD issued by Officeworks 0437 WILSTON","",,,"REVIEW - No rule matched",,,
20/08/2023,-11.20,"7-Eleven 4126 SPRING HILL","Card transaction of 11.20 AUD issued by 7-Eleven 4126 SPRING HILL","",,,"REVIEW - No rule matched",,,
20/08/2023,-12.00,"Tpchf Straw Sundae CHERMSIDE","Card transaction of 12.00 AUD issued by Tpchf Straw Sundae CHERMSIDE","",,,"REVIEW - No rule matched",,,
20/08/2023,-7.00,"Sq *Polar Cones Pty Ltd Fortitude Val","Card transaction of 7.00 AUD issued by Sq *Polar Cones Pty Ltd Fortitude Val","",,,"REVIEW - No rule matched",,,
20/08/2023,-12.24,"Sq *Pinks Since 1963 Fortitude Val","Card transaction of 12.24 AUD issued by Sq *Pinks Since 1963 Fortitude Val","",,,"REVIEW - No rule matched",,,
20/08/2023,-78.62,"The Royal National A BOWEN HILLS","Card transaction of 78.62 AUD issued by The Royal National A BOWEN HILLS","",,,"REVIEW - No rule matched",,,
18/08/2023,-1.01,"Zlr*Yard Dogs Fortitude Val","Card transaction of 1.01 AUD issued by Zlr*Yard Dogs Fortitude Val","",,,"REVIEW - No rule matched",,,
02/08/2023,-6.00,"Wise Card Acquisition","Wise Card Acquisition","",,,"REVIEW - No rule matched",,,
21/09/2022,-120.00,"116pin* Safety Cert Q Maudsland","Card transaction of 120.00 AUD issued by 116pin* Safety Cert Q Maudsland","",,,"REVIEW - No rule matched",,,
15/08/2022,-16.60,"Annabels Pantr3065257 KURANDA","Card transaction of 16.60 AUD issued by Annabels Pantr3065257 KURANDA","",,,"REVIEW - No rule matched",,,
12/08/2022,-4.90,"Red Beret Hotel REDLYNCH","Card transaction of 4.90 AUD issued by Red Beret Hotel REDLYNCH","",,,"REVIEW - No rule matched",,,
11/08/2022,-65.03,"Puma Energy Stratfor STRATFORD","Card transaction of 65.03 AUD issued by Puma Energy Stratfor STRATFORD","",,,"REVIEW - No rule matched",,,
24/07/2022,-101.76,"Miles Mobility Gmbh +493083799699","Card transaction of 69.00 EUR issued by Miles Mobility Gmbh +493083799699 (fee: 0.45 AUD)","",,,"REVIEW - No rule matched",,,
24/07/2022,-0.45,"Miles Mobility Gmbh +493083799699","Wise Charges for: CARD-372228054","",,,"REVIEW - No rule matched",,,
24/07/2022,-22.12,"Alter Roter Lowe Rein BERLIN","Card transaction of 15.00 EUR issued by Alter Roter Lowe Rein BERLIN (fee: 0.10 AUD)","",,,"REVIEW - No rule matched",,,
24/07/2022,-0.10,"Alter Roter Lowe Rein BERLIN","Wise Charges for: CARD-371963539","",,,"REVIEW - No rule matched",,,
24/07/2022,-11.55,"Edeka Siebert Berlin","Card transaction of 7.83 EUR issued by Edeka Siebert Berlin (fee: 0.05 AUD)","",,,"REVIEW - No rule matched",,,
24/07/2022,-0.05,"Edeka Siebert Berlin","Wise Charges for: CARD-371731664","",,,"REVIEW - No rule matched",,,
23/07/2022,-23.30,"Sumup  *Phan & Do Gbr Berlin","Card transaction of 15.80 EUR issued by Sumup  *Phan & Do Gbr Berlin (fee: 0.10 AUD)","",,,"REVIEW - No rule matched",,,
23/07/2022,-0.10,"Sumup  *Phan & Do Gbr Berlin","Wise Charges for: CARD-370757336","",,,"REVIEW - No rule matched",,,
22/07/2022,-20.44,"Kaufland Berlin Neuko BERLIN NEUKOE","Card transaction of 13.93 EUR issued by Kaufland Berlin Neuko BERLIN NEUKOE (fee: 0.09 AUD)","",,,"REVIEW - No rule matched",,,
22/07/2022,-0.09,"Kaufland Berlin Neuko BERLIN NEUKOE","Wise Charges for: CARD-370259433","",,,"REVIEW - No rule matched",,,
22/07/2022,-6.50,"Ztl*Duo Sicilian Ice Berlin","Card transaction of 4.40 EUR issued by Ztl*Duo Sicilian Ice Berlin (fee: 0.03 AUD)","",,,"REVIEW - No rule matched",,,
22/07/2022,-0.03,"Ztl*Duo Sicilian Ice Berlin","Wise Charges for: CARD-369769496","",,,"REVIEW - No rule matched",,,
21/07/2022,-78.66,"Kadewe Food Berlin","Card transaction of 53.00 EUR issued by Kadewe Food Berlin (fee: 0.35 AUD)","",,,"REVIEW - No rule matched",,,
21/07/2022,-0.35,"Kadewe Food Berlin","Wise Charges for: CARD-369375978","",,,"REVIEW - No rule matched",,,
21/07/2022,-57.22,"Uniqlo 201 Berlin","Card transaction of 79.90 EUR issued by Uniqlo 201 Berlin (fee: 0.25 AUD)","",,,"REVIEW - No rule matched",,,
21/07/2022,-0.25,"Uniqlo 201 Berlin","Wise Charges for: CARD-369328100","",,,"REVIEW - No rule matched",,,
18/07/2022,-42.81,"Pesantissino LONDON  NW1","Card transaction of 24.50 GBP issued by Pesantissino LONDON  NW1 (fee: 0.19 AUD)","",,,"REVIEW - No rule matched",,,
18/07/2022,-0.19,"Pesantissino LONDON  NW1","Wise Charges for: CARD-366051105","",,,"REVIEW - No rule matched",,,
17/07/2022,-19.22,"Iz *Lord Of The Wings LONDON","Card transaction of 11.00 GBP issued by Iz *Lord Of The Wings LONDON (fee: 0.08 AUD)","",,,"REVIEW - No rule matched",,,
17/07/2022,-0.08,"Iz *Lord Of The Wings LONDON","Wise Charges for: CARD-365757778","",,,"REVIEW - No rule matched",,,
17/07/2022,-4.89,"Tesco Stores 2249 LONDON","Card transaction of 2.80 GBP issued by Tesco Stores 2249 LONDON (fee: 0.02 AUD)","",,,"REVIEW - No rule matched",,,
17/07/2022,-0.02,"Tesco Stores 2249 LONDON","Wise Charges for: CARD-365748314","",,,"REVIEW - No rule matched",,,
16/07/2022,-6.90,"Ztl*Pink Grapefruit London","Card transaction of 9.70 GBP issued by Ztl*Pink Grapefruit London (fee: 0.03 AUD)","",,,"REVIEW - No rule matched",,,
16/07/2022,-0.03,"Ztl*Pink Grapefruit London","Wise Charges for: CARD-364849521","",,,"REVIEW - No rule matched",,,
22/02/2022,-109.92,"Bauhaus 814 BERLIN","Card transaction of 69.92 EUR issued by Bauhaus 814 BERLIN (fee: 0.48 AUD)","",,,"REVIEW - No rule matched",,,
22/02/2022,-0.48,"Bauhaus 814 BERLIN","Wise Charges for: CARD-256845146","",,,"REVIEW - No rule matched",,,
22/02/2022,-206.13,"Supreme Berlin","Card transaction of 306.40 EUR issued by Supreme Berlin (fee: 0.91 AUD)","",,,"REVIEW - No rule matched",,,
22/02/2022,-0.91,"Supreme Berlin","Wise Charges for: CARD-256809736","",,,"REVIEW - No rule matched",,,
09/04/2021,-2.68,"Wise Card Acquisition","Wise Card Acquisition","",,,"REVIEW - No rule matched",,,
